errorrate,n,tests
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,1,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
0.,2,1000
#3.13078983621e-05,3,1000
#4.66813624737e-05,3,1000
#3.68050577536e-05,3,1000
#4.39631379551e-05,3,1000
#1.26181055539e-06,3,1000
#2.92479491281e-05,3,1000
#5.30834400512e-05,3,1000
#3.99478449793e-05,3,1000
#3.80590627517e-05,3,1000
#2.18453229511e-05,3,1000
#0.000149291065937,4,1000
#0.000142238704713,4,1000
#0.000116438597034,4,1000
#0.000103631693509,4,1000
#0.000108995017664,4,1000
#8.450579653e-05,4,1000
#0.00017840423096,4,1000
#0.000194446916674,4,1000
#8.31214014371e-05,4,1000
#9.56128691648e-05,4,1000
#0.00031934701304,5,1000
#0.000187180708337,5,1000
#0.000252280501136,5,1000
#0.000250887876849,5,1000
#0.000270785463387,5,1000
#0.000380160131291,5,1000
#0.000235569713786,5,1000
#0.000199703433416,5,1000
#0.000217999764198,5,1000
#0.00026490938855,5,1000
#0.000540754490454,6,1000
#0.000417687017695,6,1000
#0.000460748733375,6,1000
#0.000448239043419,6,1000
#0.000419543058457,6,1000
#0.000340002749477,6,1000
#0.000603510994923,6,1000
#0.000384416448506,6,1000
#0.000422472611534,6,1000
#0.000441857048754,6,1000
#0.000759253004712,7,1000
#0.000758276749242,7,1000
#0.000651421926195,7,1000
#0.000751575344453,7,1000
#0.000740168878435,7,1000
#0.000616437595713,7,1000
#0.000676689429496,7,1000
#0.000748562091165,7,1000
#0.000634695971575,7,1000
#0.000704009836133,7,1000
#0.00103923788783,8,1000
#0.00106322712238,8,1000
#0.00112735992511,8,1000
#0.00105938645332,8,1000
#0.000974819302069,8,1000
#0.00088593601098,8,1000
#0.00101173932082,8,1000
#0.00110780858227,8,1000
#0.00117011551805,8,1000
#0.000983429726753,8,1000
0.001387585,9,10000
##0.00137542795339,9,1000
##0.00146177943209,9,1000
##0.0013610746995,9,1000
##0.00145705249087,9,1000
##0.00126774659407,9,1000
##0.00135621362847,9,1000
##0.00147357596866,9,1000
##0.00145542287284,9,1000
##0.00126408182592,9,1000
##0.00140347796506,9,1000
0.001721082,10,10000
##0.00184727527165,10,1000
##0.00178316271454,10,1000
##0.00171685570247,10,1000
##0.00165749479348,10,1000
##0.00202450099017,10,1000
##0.00173569754888,10,1000
##0.00149471116057,10,1000
##0.00143524107295,10,1000
##0.00183683339309,10,1000
##0.00167905186047,10,1000
0.00195897583171,11,1000
#0.000586001823592,13,1
#0.000443976536211,6,1000
#0.00046087072534,6,1000
#0.000446480474584,6,1000
#0.000560298452151,6,1000
#0.000405961873389,6,1000
#0.000348437231309,6,1000
#0.000492303948394,6,1000
#0.000520327332971,6,1000
#0.000492500423276,6,1000
#0.000499989835187,6,1000
#0.00152843160872,10,500
#0.000711817294179,7,1000
#0.000682182335033,7,1000
#0.000637979027316,7,1000
#0.000744538295214,7,1000
#0.000726091830845,7,1000
#0.000820654606148,7,1000
#0.000636668877129,7,1000
#0.000648758987361,7,1000
#0.0006440765274,7,1000
#0.000688624769553,7,1000
#0.00192030434658,11,500
0.00198520420063,11,500
0.00186597828302,11,500
0.00208270470608,11,500
0.00191749932754,11,500
0.00240447180681,12,500
0.00203043759189,11,500
0.00191994970106,11,500
0.00198038337309,11,500
0.00202423757694,11,500
0.00229241525305,12,500
0.00209638194825,11,500
0.00249856629866,12,500
0.00212890550534,12,500
0.00234498947403,12,500
0.00310544627382,13,100
0.00308626225156,13,100
##0.00164819123432,10,1000
##0.00177724332968,10,1000
##0.00188150540959,10,1000
##0.00182230790382,10,1000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
3.91825895766e-05,3,10000
