errorrate,n,tests
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,1,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
0.,2,10000
1.41330583243e-06,8,10000
1.54464364834e-06,8,10000
2.8177692036e-06,8,10000
2.17683620206e-06,8,10000
3.21730239891e-06,8,10000
1.82691357265e-06,8,10000
1.66191549209e-06,8,10000
2.63419063268e-06,9,10000
1.38685819775e-06,8,10000
2.49088054389e-06,8,10000
1.72356392168e-06,8,10000
1.69731058419e-08,3,100000
2.19759150893e-08,3,100000
2.24275002794e-07,3,100000
3.00306372968e-08,3,100000
4.94186764688e-08,3,100000
1.06299630404e-07,3,100000
1.53672591977e-07,3,100000
3.04019200163e-08,3,100000
5.89187347474e-08,3,100000
2.31259848504e-07,3,100000
3.60572659534e-07,4,100000
4.42178255808e-07,4,100000
2.00509599164e-07,4,100000
1.2107424988e-07,4,100000
2.255359985e-07,4,100000
9.83278508685e-08,4,100000
1.44735026042e-07,4,100000
1.68937431911e-07,4,100000
7.946243046e-08,4,100000
3.56301362548e-07,4,100000
3.42119020418e-07,5,100000
5.56494421329e-07,5,100000
3.3419721244e-07,5,100000
5.65022483007e-07,5,100000
3.64356860332e-07,5,100000
4.04564873153e-07,5,100000
5.95299197202e-07,5,100000
3.25398873828e-07,5,100000
3.95033524353e-07,5,100000
5.14754788307e-07,5,100000
1.16187373754e-06,6,100000
5.29868016291e-07,6,100000
6.12894423954e-07,6,100000
8.10864746909e-07,6,100000
8.28940493294e-07,6,100000
8.94306263946e-07,6,100000
7.64338396057e-07,6,100000
7.25433568518e-07,6,100000
1.19074677773e-06,6,100000
7.38369749883e-07,6,100000
1.70576811425e-06,7,100000
1.48122409559e-06,7,100000
1.56304727689e-06,7,100000
1.06972909501e-06,7,100000
1.56986270746e-06,7,100000
1.18611544141e-06,7,100000
1.39443798317e-06,7,100000
1.17642203828e-06,7,100000
1.36757846781e-06,7,100000
1.53319438625e-06,7,100000
